ダウンロードした時刻：2020/07/02 16:24:15

,米子,米子,米子
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2018/8/1,30.7,8,1
2018/8/2,30.1,8,1
2018/8/3,29.8,8,1
2018/8/4,30.6,8,1
2018/8/5,30.2,8,1
2018/8/6,28.5,8,1
2018/8/7,27.2,8,1
2018/8/8,25.8,8,1
2018/8/9,26.7,8,1
2018/8/10,27.4,8,1
2018/8/11,28.3,8,1
2018/8/12,28.7,8,1
2018/8/13,30.7,8,1
2018/8/14,30.7,8,1
2018/8/15,30.3,8,1
2018/8/16,27.0,8,1
2018/8/17,25.0,8,1
2018/8/18,23.0,8,1
2018/8/19,25.7,8,1
2018/8/20,27.0,8,1
2018/8/21,30.9,8,1
2018/8/22,32.6,8,1
2018/8/23,31.1,8,1
2018/8/24,32.0,8,1
2018/8/25,29.9,8,1
2018/8/26,29.7,8,1
2018/8/27,29.0,8,1
2018/8/28,27.4,8,1
2018/8/29,27.9,8,1
2018/8/30,28.9,8,1
2018/8/31,28.8,8,1
2018/9/1,23.4,8,1
2018/9/2,24.6,8,1
2018/9/3,28.9,8,1
2018/9/4,26.2,8,1
2018/9/5,25.3,8,1
2018/9/6,25.0,8,1
2018/9/7,24.2,8,1
2018/9/8,21.8,8,1
2018/9/9,20.7,8,1
2018/9/10,20.5,8,1
2018/9/11,21.7,8,1
2018/9/12,23.0,8,1
2018/9/13,23.5,8,1
2018/9/14,23.2,8,1
2018/9/15,25.1,8,1
2018/9/16,25.2,8,1
2018/9/17,21.9,8,1
2018/9/18,22.7,8,1
2018/9/19,23.1,8,1
2018/9/20,19.8,8,1
2018/9/21,22.8,8,1
2018/9/22,23.6,8,1
2018/9/23,22.7,8,1
2018/9/24,21.5,8,1
2018/9/25,21.0,8,1
2018/9/26,20.9,8,1
2018/9/27,21.2,8,1
2018/9/28,19.6,8,1
2018/9/29,17.8,8,1
2018/9/30,19.5,8,1
2018/10/1,20.2,8,1
2018/10/2,18.7,8,1
2018/10/3,19.0,8,1
2018/10/4,18.9,8,1
2018/10/5,23.0,8,1
2018/10/6,27.3,8,1
2018/10/7,21.4,8,1
2018/10/8,20.4,8,1
2018/10/9,20.0,8,1
2018/10/10,19.0,8,1
2018/10/11,17.0,8,1
2018/10/12,15.8,8,1
2018/10/13,16.6,8,1
2018/10/14,16.4,8,1
2018/10/15,17.2,8,1
2018/10/16,17.2,8,1
2018/10/17,16.9,8,1
2018/10/18,16.2,8,1
2018/10/19,16.1,8,1
2018/10/20,16.9,8,1
2018/10/21,14.7,8,1
2018/10/22,15.8,8,1
2018/10/23,17.2,8,1
2018/10/24,16.7,8,1
2018/10/25,14.7,8,1
2018/10/26,17.2,8,1
2018/10/27,15.6,8,1
2018/10/28,14.8,8,1
2018/10/29,14.7,8,1
2018/10/30,13.1,8,1
2018/10/31,11.0,8,1
2018/11/1,11.7,8,1
2018/11/2,11.2,8,1
2018/11/3,12.0,8,1
2018/11/4,12.5,8,1
2018/11/5,14.0,8,1
2018/11/6,15.8,8,1
2018/11/7,14.9,8,1
2018/11/8,16.9,8,1
2018/11/9,18.7,8,1
2018/11/10,15.2,8,1
2018/11/11,13.8,8,1
2018/11/12,13.7,8,1
2018/11/13,13.6,8,1
2018/11/14,13.0,8,1
2018/11/15,11.3,8,1
2018/11/16,11.1,8,1
2018/11/17,11.5,8,1
2018/11/18,12.9,8,1
2018/11/19,12.1,8,1
2018/11/20,10.0,8,1
2018/11/21,10.7,8,1
2018/11/22,10.0,8,1
2018/11/23,7.3,8,1
2018/11/24,8.4,8,1
2018/11/25,12.1,8,1
2018/11/26,11.2,8,1
2018/11/27,13.1,8,1
2018/11/28,12.7,8,1
