ダウンロードした時刻：2020/07/02 16:24:15

,米子,米子,米子
2018/11/29,9.9,8,1
2018/11/30,9.9,8,1
2018/12/1,10.4,8,1
2018/12/2,11.3,8,1
2018/12/3,16.3,8,1
2018/12/4,17.5,8,1
2018/12/5,11.7,8,1
2018/12/6,11.0,8,1
2018/12/7,8.6,8,1
2018/12/8,4.6,8,1
2018/12/9,3.5,8,1
2018/12/10,5.1,8,1
2018/12/11,4.7,8,1
2018/12/12,7.3,8,1
2018/12/13,6.6,8,1
2018/12/14,4.5,8,1
2018/12/15,5.5,8,1
2018/12/16,7.4,8,1
2018/12/17,7.3,8,1
2018/12/18,7.5,8,1
2018/12/19,9.8,8,1
2018/12/20,9.1,8,1
2018/12/21,9.3,8,1
2018/12/22,12.0,8,1
2018/12/23,10.6,8,1
2018/12/24,7.0,8,1
2018/12/25,6.9,8,1
2018/12/26,7.9,8,1
2018/12/27,5.5,8,1
2018/12/28,1.0,8,1
2018/12/29,1.7,8,1
2018/12/30,1.8,8,1
2018/12/31,3.5,8,1
2019/1/1,4.1,8,1
2019/1/2,4.8,8,1
2019/1/3,5.7,8,1
2019/1/4,6.5,8,1
2019/1/5,7.8,8,1
2019/1/6,6.2,8,1
2019/1/7,6.1,8,1
2019/1/8,6.7,8,1
2019/1/9,3.9,8,1
2019/1/10,4.9,8,1
2019/1/11,6.4,8,1
2019/1/12,5.3,8,1
2019/1/13,4.9,8,1
2019/1/14,5.1,8,1
2019/1/15,7.9,8,1
2019/1/16,4.3,8,1
2019/1/17,5.7,8,1
2019/1/18,5.8,8,1
2019/1/19,7.1,8,1
2019/1/20,8.2,8,1
2019/1/21,5.8,8,1
2019/1/22,6.8,8,1
2019/1/23,8.7,8,1
2019/1/24,5.6,8,1
2019/1/25,5.4,8,1
2019/1/26,2.5,8,1
2019/1/27,5.0,8,1
2019/1/28,6.3,8,1
2019/1/29,5.0,8,1
2019/1/30,5.6,8,1
2019/1/31,5.6,8,1
2019/2/1,4.2,8,1
2019/2/2,6.1,8,1
2019/2/3,9.6,8,1
2019/2/4,8.6,8,1
2019/2/5,6.7,8,1
2019/2/6,10.5,8,1
2019/2/7,8.9,8,1
2019/2/8,4.7,8,1
2019/2/9,4.7,8,1
2019/2/10,3.7,8,1
2019/2/11,4.6,8,1
2019/2/12,4.9,8,1
2019/2/13,5.6,8,1
2019/2/14,3.8,8,1
2019/2/15,6.0,8,1
2019/2/16,5.5,8,1
2019/2/17,4.0,8,1
2019/2/18,5.7,8,1
2019/2/19,10.0,8,1
2019/2/20,9.4,8,1
2019/2/21,7.9,8,1
2019/2/22,7.0,8,1
2019/2/23,9.0,8,1
2019/2/24,6.0,8,1
2019/2/25,9.3,8,1
2019/2/26,8.4,8,1
2019/2/27,7.2,8,1
2019/2/28,8.3,8,1
2019/3/1,7.7,8,1
2019/3/2,7.3,8,1
2019/3/3,9.0,8,1
2019/3/4,8.0,8,1
2019/3/5,8.2,8,1
2019/3/6,9.2,8,1
2019/3/7,8.4,8,1
2019/3/8,7.4,8,1
2019/3/9,9.3,8,1
2019/3/10,11.1,8,1
2019/3/11,10.4,8,1
2019/3/12,10.0,8,1
2019/3/13,5.9,8,1
2019/3/14,5.9,8,1
2019/3/15,5.1,8,1
2019/3/16,5.9,8,1
2019/3/17,6.6,8,1
2019/3/18,7.8,8,1
2019/3/19,11.2,8,1
2019/3/20,12.1,8,1
2019/3/21,17.1,8,1
2019/3/22,9.8,8,1
2019/3/23,5.0,8,1
2019/3/24,6.2,8,1
2019/3/25,9.7,8,1
2019/3/26,10.7,8,1
2019/3/27,14.5,8,1
2019/3/28,10.4,8,1
2019/3/29,10.3,8,1
2019/3/30,12.1,8,1
2019/3/31,7.6,8,1
2019/4/1,4.9,8,1
2019/4/2,4.8,8,1
2019/4/3,7.0,8,1
2019/4/4,10.3,8,1
2019/4/5,14.6,8,1
2019/4/6,13.7,8,1
2019/4/7,12.6,8,1
2019/4/8,12.3,8,1
2019/4/9,10.0,8,1
2019/4/10,8.6,8,1
2019/4/11,10.4,8,1
2019/4/12,9.5,8,1
2019/4/13,10.2,8,1
2019/4/14,12.9,8,1
2019/4/15,11.7,8,1
2019/4/16,12.7,8,1
2019/4/17,16.5,8,1
2019/4/18,17.7,8,1
2019/4/19,12.7,8,1
2019/4/20,12.0,8,1
2019/4/21,16.3,8,1
2019/4/22,15.6,8,1
2019/4/23,18.7,8,1
2019/4/24,20.4,8,1
2019/4/25,16.3,8,1
2019/4/26,12.7,8,1
2019/4/27,11.6,8,1
2019/4/28,11.3,8,1
2019/4/29,13.7,8,1
2019/4/30,15.3,8,1
2019/5/1,15.7,8,1
2019/5/2,17.0,8,1
2019/5/3,16.6,8,1
2019/5/4,16.0,8,1
2019/5/5,19.3,8,1
2019/5/6,17.5,8,1
2019/5/7,12.9,8,1
2019/5/8,16.2,8,1
2019/5/9,18.6,8,1
2019/5/10,17.5,8,1
2019/5/11,17.4,8,1
2019/5/12,16.0,8,1
2019/5/13,17.4,8,1
2019/5/14,20.5,8,1
2019/5/15,20.5,8,1
2019/5/16,20.5,8,1
2019/5/17,23.2,8,1
2019/5/18,22.3,8,1
2019/5/19,23.5,8,1
2019/5/20,21.4,8,1
2019/5/21,18.9,8,1
2019/5/22,19.3,8,1
2019/5/23,21.3,8,1
2019/5/24,22.4,8,1
2019/5/25,23.4,8,1
2019/5/26,24.3,8,1
2019/5/27,22.8,8,1
2019/5/28,19.2,8,1
2019/5/29,19.4,8,1
2019/5/30,21.1,8,1
2019/5/31,19.1,8,1
2019/6/1,19.8,8,1
2019/6/2,22.3,8,1
2019/6/3,23.2,8,1
2019/6/4,24.7,8,1
2019/6/5,24.7,8,1
2019/6/6,24.2,8,1
2019/6/7,22.6,8,1
2019/6/8,19.5,8,1
2019/6/9,19.2,8,1
2019/6/10,19.5,8,1
2019/6/11,18.5,8,1
2019/6/12,19.2,8,1
2019/6/13,20.6,8,1
2019/6/14,23.4,8,1
2019/6/15,19.0,8,1
2019/6/16,19.0,8,1
2019/6/17,19.8,8,1
2019/6/18,21.9,8,1
2019/6/19,22.3,8,1
2019/6/20,22.8,8,1
2019/6/21,23.4,8,1
2019/6/22,20.7,8,1
2019/6/23,19.9,8,1
2019/6/24,20.1,8,1
2019/6/25,21.0,8,1
2019/6/26,25.0,8,1
2019/6/27,25.0,8,1
2019/6/28,25.1,8,1
2019/6/29,23.3,8,1
2019/6/30,24.6,8,1
2019/7/1,25.1,8,1
2019/7/2,25.1,8,1
2019/7/3,23.8,8,1
2019/7/4,23.7,8,1
2019/7/5,23.0,8,1
2019/7/6,23.5,8,1
2019/7/7,23.1,8,1
2019/7/8,21.9,8,1
2019/7/9,23.3,8,1
2019/7/10,25.7,8,1
2019/7/11,26.0,8,1
2019/7/12,23.3,8,1
2019/7/13,22.9,8,1
2019/7/14,22.7,8,1
2019/7/15,23.7,8,1
2019/7/16,23.8,8,1
2019/7/17,24.3,8,1
2019/7/18,23.6,8,1
2019/7/19,25.7,8,1
2019/7/20,26.6,8,1
2019/7/21,28.6,8,1
2019/7/22,28.3,8,1
2019/7/23,27.7,8,1
2019/7/24,28.0,8,1
2019/7/25,28.5,8,1
2019/7/26,29.2,8,1
2019/7/27,29.1,8,1
2019/7/28,28.9,8,1
2019/7/29,29.1,8,1
2019/7/30,30.3,8,1
2019/7/31,30.8,8,1
